cycle_id,axis,cycle_start,cycle_end,Peak_Torque_pct_of_rated,related_error_code,peak_torque_pct
4,6,2025-11-17 09:02:57+00:00,2025-11-17 09:04:02+00:00,90.72,SRVO-324,
5,1,2025-11-17 09:04:15+00:00,2025-11-17 09:04:55+00:00,47.18,,
5,2,2025-11-17 09:04:15+00:00,2025-11-17 09:04:55+00:00,67.31,,
5,3,2025-11-17 09:04:15+00:00,2025-11-17 09:04:55+00:00,50.51,,
5,4,2025-11-17 09:04:15+00:00,2025-11-17 09:04:55+00:00,55.93,,
5,5,2025-11-17 09:04:15+00:00,2025-11-17 09:04:55+00:00,46.5,,
5,6,2025-11-17 09:04:15+00:00,2025-11-17 09:04:55+00:00,91.73,SRVO-050,
6,1,2025-11-17 09:05:09+00:00,2025-11-17 09:06:13+00:00,41.36,,
6,2,2025-11-17 09:05:09+00:00,2025-11-17 09:06:13+00:00,53.73,,
6,3,2025-11-17 09:05:09+00:00,2025-11-17 09:06:13+00:00,101.89,SRVO-324,
6,4,2025-11-17 09:05:09+00:00,2025-11-17 09:06:13+00:00,71.95,,
6,5,2025-11-17 09:05:09+00:00,2025-11-17 09:06:13+00:00,115.44,SRVO-050,
6,6,2025-11-17 09:05:09+00:00,2025-11-17 09:06:13+00:00,70.44,,
7,1,2025-11-17 09:06:21+00:00,2025-11-17 09:07:39+00:00,41.63,,
7,2,2025-11-17 09:06:21+00:00,2025-11-17 09:07:39+00:00,33.93,,
7,3,2025-11-17 09:06:21+00:00,2025-11-17 09:07:39+00:00,45.76,,
7,4,2025-11-17 09:06:21+00:00,2025-11-17 09:07:39+00:00,66.79,,
7,5,2025-11-17 09:06:21+00:00,2025-11-17 09:07:39+00:00,50.35,,
7,6,2025-11-17 09:06:21+00:00,2025-11-17 09:07:39+00:00,60.19,,
8,1,2025-11-17 09:07:52+00:00,2025-11-17 09:09:12+00:00,49.98,,
8,2,2025-11-17 09:07:52+00:00,2025-11-17 09:09:12+00:00,49.56,,
8,3,2025-11-17 09:07:52+00:00,2025-11-17 09:09:12+00:00,79.92,,
8,4,2025-11-17 09:07:52+00:00,2025-11-17 09:09:12+00:00,83.34,,
8,5,2025-11-17 09:07:52+00:00,2025-11-17 09:09:12+00:00,61.32,,
8,6,2025-11-17 09:07:52+00:00,2025-11-17 09:09:12+00:00,80.57,,
9,1,2025-11-17 09:09:17+00:00,2025-11-17 09:10:45+00:00,57.49,,
9,2,2025-11-17 09:09:17+00:00,2025-11-17 09:10:45+00:00,49.03,,
9,3,2025-11-17 09:09:17+00:00,2025-11-17 09:10:45+00:00,45.04,,
9,4,2025-11-17 09:09:17+00:00,2025-11-17 09:10:45+00:00,64.88,,
9,5,2025-11-17 09:09:17+00:00,2025-11-17 09:10:45+00:00,100.03,SRVO-324,
9,6,2025-11-17 09:09:17+00:00,2025-11-17 09:10:45+00:00,70.64,,
10,1,2025-11-17 09:10:56+00:00,2025-11-17 09:11:56+00:00,52.93,,
10,2,2025-11-17 09:10:56+00:00,2025-11-17 09:11:56+00:00,73.26,,
10,3,2025-11-17 09:10:56+00:00,2025-11-17 09:11:56+00:00,55.15,,
10,4,2025-11-17 09:10:56+00:00,2025-11-17 09:11:56+00:00,69.62,,
10,5,2025-11-17 09:10:56+00:00,2025-11-17 09:11:56+00:00,53.72,,
10,6,2025-11-17 09:10:56+00:00,2025-11-17 09:11:56+00:00,85.6,,
11,1,2025-11-17 09:12:04+00:00,2025-11-17 09:13:25+00:00,32.78,,
11,2,2025-11-17 09:12:04+00:00,2025-11-17 09:13:25+00:00,62.98,,
11,3,2025-11-17 09:12:04+00:00,2025-11-17 09:13:25+00:00,59.19,,
11,4,2025-11-17 09:12:04+00:00,2025-11-17 09:13:25+00:00,63.79,,
11,5,2025-11-17 09:12:04+00:00,2025-11-17 09:13:25+00:00,67.0,,
11,6,2025-11-17 09:12:04+00:00,2025-11-17 09:13:25+00:00,61.99,,
12,1,2025-11-17 09:13:32+00:00,2025-11-17 09:14:49+00:00,37.52,,
12,2,2025-11-17 09:13:32+00:00,2025-11-17 09:14:49+00:00,63.37,,
12,3,2025-11-17 09:13:32+00:00,2025-11-17 09:14:49+00:00,60.12,,
12,4,2025-11-17 09:13:32+00:00,2025-11-17 09:14:49+00:00,61.92,,
12,5,2025-11-17 09:13:32+00:00,2025-11-17 09:14:49+00:00,74.43,,
12,6,2025-11-17 09:13:32+00:00,2025-11-17 09:14:49+00:00,76.01,,
13,1,2025-11-17 09:15:05+00:00,2025-11-17 09:15:47+00:00,42.07,,
13,2,2025-11-17 09:15:05+00:00,2025-11-17 09:15:47+00:00,115.07,SRVO-160,
13,3,2025-11-17 09:15:05+00:00,2025-11-17 09:15:47+00:00,48.8,,
13,4,2025-11-17 09:15:05+00:00,2025-11-17 09:15:47+00:00,57.45,,
13,5,2025-11-17 09:15:05+00:00,2025-11-17 09:15:47+00:00,70.32,,
13,6,2025-11-17 09:15:05+00:00,2025-11-17 09:15:47+00:00,57.74,,
14,1,2025-11-17 09:16:05+00:00,2025-11-17 09:17:22+00:00,50.22,,
14,2,2025-11-17 09:16:05+00:00,2025-11-17 09:17:22+00:00,71.94,,
14,3,2025-11-17 09:16:05+00:00,2025-11-17 09:17:22+00:00,61.51,,
14,4,2025-11-17 09:16:05+00:00,2025-11-17 09:17:22+00:00,62.07,,
14,5,2025-11-17 09:16:05+00:00,2025-11-17 09:17:22+00:00,63.82,,
14,6,2025-11-17 09:16:05+00:00,2025-11-17 09:17:22+00:00,83.99,,
15,1,2025-11-17 09:17:30+00:00,2025-11-17 09:18:37+00:00,41.74,,
15,2,2025-11-17 09:17:30+00:00,2025-11-17 09:18:37+00:00,73.46,,
15,3,2025-11-17 09:17:30+00:00,2025-11-17 09:18:37+00:00,79.33,,
15,4,2025-11-17 09:17:30+00:00,2025-11-17 09:18:37+00:00,67.57,,
15,5,2025-11-17 09:17:30+00:00,2025-11-17 09:18:37+00:00,69.88,,
15,6,2025-11-17 09:17:30+00:00,2025-11-17 09:18:37+00:00,85.31,,
16,1,2025-11-17 09:18:43+00:00,2025-11-17 09:20:03+00:00,60.95,,
16,2,2025-11-17 09:18:43+00:00,2025-11-17 09:20:03+00:00,46.94,,
16,3,2025-11-17 09:18:43+00:00,2025-11-17 09:20:03+00:00,54.73,,
16,4,2025-11-17 09:18:43+00:00,2025-11-17 09:20:03+00:00,51.78,,
16,5,2025-11-17 09:18:43+00:00,2025-11-17 09:20:03+00:00,74.09,,
16,6,2025-11-17 09:18:43+00:00,2025-11-17 09:20:03+00:00,81.67,,
17,1,2025-11-17 09:20:09+00:00,2025-11-17 09:21:39+00:00,36.5,,
17,2,2025-11-17 09:20:09+00:00,2025-11-17 09:21:39+00:00,50.45,,
17,3,2025-11-17 09:20:09+00:00,2025-11-17 09:21:39+00:00,46.53,,
17,4,2025-11-17 09:20:09+00:00,2025-11-17 09:21:39+00:00,56.01,,
17,5,2025-11-17 09:20:09+00:00,2025-11-17 09:21:39+00:00,75.51,,
17,6,2025-11-17 09:20:09+00:00,2025-11-17 09:21:39+00:00,67.67,,
18,1,2025-11-17 09:21:54+00:00,2025-11-17 09:23:18+00:00,46.99,,
18,2,2025-11-17 09:21:54+00:00,2025-11-17 09:23:18+00:00,108.51,SRVO-050,
18,3,2025-11-17 09:21:54+00:00,2025-11-17 09:23:18+00:00,59.53,,
18,4,2025-11-17 09:21:54+00:00,2025-11-17 09:23:18+00:00,67.1,,
18,5,2025-11-17 09:21:54+00:00,2025-11-17 09:23:18+00:00,109.66,SRVO-324,
18,6,2025-11-17 09:21:54+00:00,2025-11-17 09:23:18+00:00,90.45,,
19,1,2025-11-17 09:23:26+00:00,2025-11-17 09:24:19+00:00,43.67,,
19,2,2025-11-17 09:23:26+00:00,2025-11-17 09:24:19+00:00,54.03,,
19,3,2025-11-17 09:23:26+00:00,2025-11-17 09:24:19+00:00,70.11,,
19,4,2025-11-17 09:23:26+00:00,2025-11-17 09:24:19+00:00,100.29,SRVO-160,
19,5,2025-11-17 09:23:26+00:00,2025-11-17 09:24:19+00:00,57.56,,
19,6,2025-11-17 09:23:26+00:00,2025-11-17 09:24:19+00:00,79.5,,
20,1,2025-11-17 09:24:31+00:00,2025-11-17 09:25:04+00:00,42.92,,
20,2,2025-11-17 09:24:31+00:00,2025-11-17 09:25:04+00:00,49.61,,
20,3,2025-11-17 09:24:31+00:00,2025-11-17 09:25:04+00:00,52.8,,
20,4,2025-11-17 09:24:31+00:00,2025-11-17 09:25:04+00:00,53.74,,
20,5,2025-11-17 09:24:31+00:00,2025-11-17 09:25:04+00:00,69.59,,
20,6,2025-11-17 09:24:31+00:00,2025-11-17 09:25:04+00:00,60.25,,
21,1,2025-11-17 09:25:18+00:00,2025-11-17 09:26:46+00:00,59.47,,
21,2,2025-11-17 09:25:18+00:00,2025-11-17 09:26:46+00:00,55.55,,
21,3,2025-11-17 09:25:18+00:00,2025-11-17 09:26:46+00:00,64.22,,
21,4,2025-11-17 09:25:18+00:00,2025-11-17 09:26:46+00:00,60.34,,
21,5,2025-11-17 09:25:18+00:00,2025-11-17 09:26:46+00:00,108.95,,
21,6,2025-11-17 09:25:18+00:00,2025-11-17 09:26:46+00:00,77.88,,
22,1,2025-11-17 09:26:59+00:00,2025-11-17 09:28:16+00:00,104.21,SRVO-160,
22,2,2025-11-17 09:26:59+00:00,2025-11-17 09:28:16+00:00,114.47,SRVO-050,
22,3,2025-11-17 09:26:59+00:00,2025-11-17 09:28:16+00:00,65.93,,
22,4,2025-11-17 09:26:59+00:00,2025-11-17 09:28:16+00:00,63.83,,
22,5,2025-11-17 09:26:59+00:00,2025-11-17 09:28:16+00:00,77.33,,
22,6,2025-11-17 09:26:59+00:00,2025-11-17 09:28:16+00:00,67.76,,
23,1,2025-11-17 09:28:28+00:00,2025-11-17 09:29:03+00:00,40.99,,
23,2,2025-11-17 09:28:28+00:00,2025-11-17 09:29:03+00:00,50.93,,
23,3,2025-11-17 09:28:28+00:00,2025-11-17 09:29:03+00:00,55.69,,
23,4,2025-11-17 09:28:28+00:00,2025-11-17 09:29:03+00:00,73.06,,
23,5,2025-11-17 09:28:28+00:00,2025-11-17 09:29:03+00:00,77.97,,
23,6,2025-11-17 09:28:28+00:00,2025-11-17 09:29:03+00:00,94.05,,
24,1,2025-11-17 09:29:12+00:00,2025-11-17 09:29:52+00:00,45.05,,
24,2,2025-11-17 09:29:12+00:00,2025-11-17 09:29:52+00:00,21.52,,
24,3,2025-11-17 09:29:12+00:00,2025-11-17 09:29:52+00:00,55.91,,
24,4,2025-11-17 09:29:12+00:00,2025-11-17 09:29:52+00:00,67.31,,
24,5,2025-11-17 09:29:12+00:00,2025-11-17 09:29:52+00:00,77.15,,
24,6,2025-11-17 09:29:12+00:00,2025-11-17 09:29:52+00:00,78.04,,
25,1,2025-11-17 09:30:05+00:00,2025-11-17 09:31:11+00:00,45.04,,
25,2,2025-11-17 09:30:05+00:00,2025-11-17 09:31:11+00:00,72.14,,
25,3,2025-11-17 09:30:05+00:00,2025-11-17 09:31:11+00:00,49.66,,
25,4,2025-11-17 09:30:05+00:00,2025-11-17 09:31:11+00:00,62.25,,
25,5,2025-11-17 09:30:05+00:00,2025-11-17 09:31:11+00:00,111.68,SRVO-160,
25,6,2025-11-17 09:30:05+00:00,2025-11-17 09:31:11+00:00,75.2,,
26,1,2025-11-17 09:31:25+00:00,2025-11-17 09:32:17+00:00,42.18,,
26,2,2025-11-17 09:31:25+00:00,2025-11-17 09:32:17+00:00,63.53,,
26,3,2025-11-17 09:31:25+00:00,2025-11-17 09:32:17+00:00,62.47,,
26,4,2025-11-17 09:31:25+00:00,2025-11-17 09:32:17+00:00,64.9,,
26,5,2025-11-17 09:31:25+00:00,2025-11-17 09:32:17+00:00,78.79,,
26,6,2025-11-17 09:31:25+00:00,2025-11-17 09:32:17+00:00,79.81,,
27,1,2025-11-17 09:32:25+00:00,2025-11-17 09:33:40+00:00,64.47,,
27,2,2025-11-17 09:32:25+00:00,2025-11-17 09:33:40+00:00,50.4,,
27,3,2025-11-17 09:32:25+00:00,2025-11-17 09:33:40+00:00,55.7,,
27,4,2025-11-17 09:32:25+00:00,2025-11-17 09:33:40+00:00,51.99,,
27,5,2025-11-17 09:32:25+00:00,2025-11-17 09:33:40+00:00,65.71,,
27,6,2025-11-17 09:32:25+00:00,2025-11-17 09:33:40+00:00,84.65,,
28,1,2025-11-17 09:33:53+00:00,2025-11-17 09:35:07+00:00,63.0,,
28,2,2025-11-17 09:33:53+00:00,2025-11-17 09:35:07+00:00,64.6,,
28,3,2025-11-17 09:33:53+00:00,2025-11-17 09:35:07+00:00,42.06,,
28,4,2025-11-17 09:33:53+00:00,2025-11-17 09:35:07+00:00,75.83,,
28,5,2025-11-17 09:33:53+00:00,2025-11-17 09:35:07+00:00,51.61,,
28,6,2025-11-17 09:33:53+00:00,2025-11-17 09:35:07+00:00,83.98,,
29,1,2025-11-17 09:35:13+00:00,2025-11-17 09:35:57+00:00,46.32,,
29,2,2025-11-17 09:35:13+00:00,2025-11-17 09:35:57+00:00,62.03,,
29,3,2025-11-17 09:35:13+00:00,2025-11-17 09:35:57+00:00,46.68,,
29,4,2025-11-17 09:35:13+00:00,2025-11-17 09:35:57+00:00,76.71,,
29,5,2025-11-17 09:35:13+00:00,2025-11-17 09:35:57+00:00,55.35,,
29,6,2025-11-17 09:35:13+00:00,2025-11-17 09:35:57+00:00,68.32,,
30,1,2025-11-17 09:36:05+00:00,2025-11-17 09:37:11+00:00,120.21,SRVO-324,
30,2,2025-11-17 09:36:05+00:00,2025-11-17 09:37:11+00:00,37.46,,
30,3,2025-11-17 09:36:05+00:00,2025-11-17 09:37:11+00:00,96.47,SRVO-324,
30,4,2025-11-17 09:36:05+00:00,2025-11-17 09:37:11+00:00,65.18,,
30,5,2025-11-17 09:36:05+00:00,2025-11-17 09:37:11+00:00,96.67,,
30,6,2025-11-17 09:36:05+00:00,2025-11-17 09:37:11+00:00,75.97,,
31,1,2025-11-17 09:37:27+00:00,2025-11-17 09:38:17+00:00,61.17,,
31,2,2025-11-17 09:37:27+00:00,2025-11-17 09:38:17+00:00,57.32,,
31,3,2025-11-17 09:37:27+00:00,2025-11-17 09:38:17+00:00,64.99,,
31,4,2025-11-17 09:37:27+00:00,2025-11-17 09:38:17+00:00,61.58,,
31,5,2025-11-17 09:37:27+00:00,2025-11-17 09:38:17+00:00,71.95,,
31,6,2025-11-17 09:37:27+00:00,2025-11-17 09:38:17+00:00,80.37,,
32,1,2025-11-17 09:38:26+00:00,2025-11-17 09:39:09+00:00,44.22,,
32,2,2025-11-17 09:38:26+00:00,2025-11-17 09:39:09+00:00,54.23,,
32,3,2025-11-17 09:38:26+00:00,2025-11-17 09:39:09+00:00,59.42,,
32,4,2025-11-17 09:38:26+00:00,2025-11-17 09:39:09+00:00,73.26,,
32,5,2025-11-17 09:38:26+00:00,2025-11-17 09:39:09+00:00,59.34,,
32,6,2025-11-17 09:38:26+00:00,2025-11-17 09:39:09+00:00,74.48,,
33,1,2025-11-17 09:39:22+00:00,2025-11-17 09:40:19+00:00,112.7,SRVO-050,
33,2,2025-11-17 09:39:22+00:00,2025-11-17 09:40:19+00:00,66.64,,
33,3,2025-11-17 09:39:22+00:00,2025-11-17 09:40:19+00:00,63.0,,
33,4,2025-11-17 09:39:22+00:00,2025-11-17 09:40:19+00:00,67.63,,
33,5,2025-11-17 09:39:22+00:00,2025-11-17 09:40:19+00:00,62.82,,
33,6,2025-11-17 09:39:22+00:00,2025-11-17 09:40:19+00:00,92.09,,
34,1,2025-11-17 09:40:27+00:00,2025-11-17 09:41:53+00:00,69.39,,
34,2,2025-11-17 09:40:27+00:00,2025-11-17 09:41:53+00:00,63.53,,
34,3,2025-11-17 09:40:27+00:00,2025-11-17 09:41:53+00:00,66.54,,
34,4,2025-11-17 09:40:27+00:00,2025-11-17 09:41:53+00:00,62.65,,
34,5,2025-11-17 09:40:27+00:00,2025-11-17 09:41:53+00:00,73.91,,
34,6,2025-11-17 09:40:27+00:00,2025-11-17 09:41:53+00:00,66.65,,
35,1,2025-11-17 09:42:00+00:00,2025-11-17 09:43:07+00:00,38.74,,
35,2,2025-11-17 09:42:00+00:00,2025-11-17 09:43:07+00:00,40.13,,
35,3,2025-11-17 09:42:00+00:00,2025-11-17 09:43:07+00:00,64.11,,
35,4,2025-11-17 09:42:00+00:00,2025-11-17 09:43:07+00:00,51.22,,
35,5,2025-11-17 09:42:00+00:00,2025-11-17 09:43:07+00:00,65.0,,
35,6,2025-11-17 09:42:00+00:00,2025-11-17 09:43:07+00:00,74.39,,
36,1,2025-11-17 09:43:24+00:00,2025-11-17 09:44:11+00:00,59.95,,
36,2,2025-11-17 09:43:24+00:00,2025-11-17 09:44:11+00:00,49.22,,
36,3,2025-11-17 09:43:24+00:00,2025-11-17 09:44:11+00:00,71.13,,
36,4,2025-11-17 09:43:24+00:00,2025-11-17 09:44:11+00:00,119.43,SRVO-050,
36,5,2025-11-17 09:43:24+00:00,2025-11-17 09:44:11+00:00,63.69,,
36,6,2025-11-17 09:43:24+00:00,2025-11-17 09:44:11+00:00,72.02,,
37,1,2025-11-17 09:44:20+00:00,2025-11-17 09:44:57+00:00,57.69,,
37,2,2025-11-17 09:44:20+00:00,2025-11-17 09:44:57+00:00,49.73,,
37,3,2025-11-17 09:44:20+00:00,2025-11-17 09:44:57+00:00,59.95,,
37,4,2025-11-17 09:44:20+00:00,2025-11-17 09:44:57+00:00,68.99,,
37,5,2025-11-17 09:44:20+00:00,2025-11-17 09:44:57+00:00,77.85,,
37,6,2025-11-17 09:44:20+00:00,2025-11-17 09:44:57+00:00,57.22,,
38,1,2025-11-17 09:45:11+00:00,2025-11-17 09:46:28+00:00,57.15,,
38,2,2025-11-17 09:45:11+00:00,2025-11-17 09:46:28+00:00,122.32,SRVO-050,
38,3,2025-11-17 09:45:11+00:00,2025-11-17 09:46:28+00:00,65.93,,
38,4,2025-11-17 09:45:11+00:00,2025-11-17 09:46:28+00:00,79.19,,
38,5,2025-11-17 09:45:11+00:00,2025-11-17 09:46:28+00:00,84.59,,
38,6,2025-11-17 09:45:11+00:00,2025-11-17 09:46:28+00:00,88.4,,
39,1,2025-11-17 09:46:38+00:00,2025-11-17 09:47:48+00:00,58.7,,
39,2,2025-11-17 09:46:38+00:00,2025-11-17 09:47:48+00:00,75.85,,
39,3,2025-11-17 09:46:38+00:00,2025-11-17 09:47:48+00:00,64.38,,
39,4,2025-11-17 09:46:38+00:00,2025-11-17 09:47:48+00:00,102.55,,
39,5,2025-11-17 09:46:38+00:00,2025-11-17 09:47:48+00:00,69.65,,
39,6,2025-11-17 09:46:38+00:00,2025-11-17 09:47:48+00:00,66.46,,
40,1,2025-11-17 09:48:08+00:00,2025-11-17 09:48:50+00:00,62.9,,
40,2,2025-11-17 09:48:08+00:00,2025-11-17 09:48:50+00:00,55.55,,
40,3,2025-11-17 09:48:08+00:00,2025-11-17 09:48:50+00:00,80.49,,
40,4,2025-11-17 09:48:08+00:00,2025-11-17 09:48:50+00:00,48.75,,
40,5,2025-11-17 09:48:08+00:00,2025-11-17 09:48:50+00:00,64.43,,
40,6,2025-11-17 09:48:08+00:00,2025-11-17 09:48:50+00:00,75.33,,
41,1,2025-11-17 09:49:01+00:00,2025-11-17 09:50:11+00:00,61.37,,
41,2,2025-11-17 09:49:01+00:00,2025-11-17 09:50:11+00:00,58.99,,
41,3,2025-11-17 09:49:01+00:00,2025-11-17 09:50:11+00:00,63.1,,
41,4,2025-11-17 09:49:01+00:00,2025-11-17 09:50:11+00:00,53.73,,
41,5,2025-11-17 09:49:01+00:00,2025-11-17 09:50:11+00:00,58.43,,
41,6,2025-11-17 09:49:01+00:00,2025-11-17 09:50:11+00:00,78.23,,
42,1,2025-11-17 09:50:22+00:00,2025-11-17 09:51:48+00:00,36.36,,
42,2,2025-11-17 09:50:22+00:00,2025-11-17 09:51:48+00:00,101.0,SRVO-050,
42,3,2025-11-17 09:50:22+00:00,2025-11-17 09:51:48+00:00,70.46,,
42,4,2025-11-17 09:50:22+00:00,2025-11-17 09:51:48+00:00,81.02,,
42,5,2025-11-17 09:50:22+00:00,2025-11-17 09:51:48+00:00,63.03,,
42,6,2025-11-17 09:50:22+00:00,2025-11-17 09:51:48+00:00,77.43,,
43,1,2025-11-17 09:51:53+00:00,2025-11-17 09:53:07+00:00,105.97,SRVO-050,
43,2,2025-11-17 09:51:53+00:00,2025-11-17 09:53:07+00:00,63.64,,
43,3,2025-11-17 09:51:53+00:00,2025-11-17 09:53:07+00:00,37.14,,
43,4,2025-11-17 09:51:53+00:00,2025-11-17 09:53:07+00:00,57.17,,
43,5,2025-11-17 09:51:53+00:00,2025-11-17 09:53:07+00:00,77.66,,
43,6,2025-11-17 09:51:53+00:00,2025-11-17 09:53:07+00:00,122.35,,
44,1,2025-11-17 09:53:26+00:00,2025-11-17 09:54:41+00:00,33.7,,
44,2,2025-11-17 09:53:26+00:00,2025-11-17 09:54:41+00:00,60.56,,
44,3,2025-11-17 09:53:26+00:00,2025-11-17 09:54:41+00:00,40.91,,
44,4,2025-11-17 09:53:26+00:00,2025-11-17 09:54:41+00:00,72.7,,
44,5,2025-11-17 09:53:26+00:00,2025-11-17 09:54:41+00:00,81.18,,
44,6,2025-11-17 09:53:26+00:00,2025-11-17 09:54:41+00:00,61.31,,
45,1,2025-11-17 09:54:59+00:00,2025-11-17 09:55:36+00:00,53.28,,
45,2,2025-11-17 09:54:59+00:00,2025-11-17 09:55:36+00:00,65.57,,
45,3,2025-11-17 09:54:59+00:00,2025-11-17 09:55:36+00:00,55.51,,
45,4,2025-11-17 09:54:59+00:00,2025-11-17 09:55:36+00:00,71.74,,
45,5,2025-11-17 09:54:59+00:00,2025-11-17 09:55:36+00:00,42.15,,
45,6,2025-11-17 09:54:59+00:00,2025-11-17 09:55:36+00:00,85.98,,
46,1,2025-11-17 09:55:44+00:00,2025-11-17 09:56:19+00:00,50.3,,
46,2,2025-11-17 09:55:44+00:00,2025-11-17 09:56:19+00:00,52.42,,
46,3,2025-11-17 09:55:44+00:00,2025-11-17 09:56:19+00:00,69.84,,
46,4,2025-11-17 09:55:44+00:00,2025-11-17 09:56:19+00:00,82.29,,
46,5,2025-11-17 09:55:44+00:00,2025-11-17 09:56:19+00:00,74.86,,
46,6,2025-11-17 09:55:44+00:00,2025-11-17 09:56:19+00:00,97.34,,
47,1,2025-11-17 09:56:29+00:00,2025-11-17 09:57:41+00:00,52.36,,
47,2,2025-11-17 09:56:29+00:00,2025-11-17 09:57:41+00:00,45.61,,
47,3,2025-11-17 09:56:29+00:00,2025-11-17 09:57:41+00:00,56.16,,
47,4,2025-11-17 09:56:29+00:00,2025-11-17 09:57:41+00:00,62.94,,
47,5,2025-11-17 09:56:29+00:00,2025-11-17 09:57:41+00:00,86.06,,
47,6,2025-11-17 09:56:29+00:00,2025-11-17 09:57:41+00:00,54.19,,
48,1,2025-11-17 09:57:56+00:00,2025-11-17 09:58:32+00:00,62.06,,
48,2,2025-11-17 09:57:56+00:00,2025-11-17 09:58:32+00:00,45.63,,
48,3,2025-11-17 09:57:56+00:00,2025-11-17 09:58:32+00:00,46.28,,
48,4,2025-11-17 09:57:56+00:00,2025-11-17 09:58:32+00:00,76.8,,
48,5,2025-11-17 09:57:56+00:00,2025-11-17 09:58:32+00:00,77.32,,
48,6,2025-11-17 09:57:56+00:00,2025-11-17 09:58:32+00:00,87.55,,
49,1,2025-11-17 09:58:48+00:00,2025-11-17 10:00:06+00:00,58.01,,
49,2,2025-11-17 09:58:48+00:00,2025-11-17 10:00:06+00:00,75.6,,
49,3,2025-11-17 09:58:48+00:00,2025-11-17 10:00:06+00:00,123.63,SRVO-160,
49,4,2025-11-17 09:58:48+00:00,2025-11-17 10:00:06+00:00,63.44,,
49,5,2025-11-17 09:58:48+00:00,2025-11-17 10:00:06+00:00,54.88,,
49,6,2025-11-17 09:58:48+00:00,2025-11-17 10:00:06+00:00,80.35,,
50,1,2025-11-17 10:00:16+00:00,2025-11-17 10:01:00+00:00,44.03,,
50,2,2025-11-17 10:00:16+00:00,2025-11-17 10:01:00+00:00,43.92,,
50,3,2025-11-17 10:00:16+00:00,2025-11-17 10:01:00+00:00,41.25,,
50,4,2025-11-17 10:00:16+00:00,2025-11-17 10:01:00+00:00,62.85,,
50,5,2025-11-17 10:00:16+00:00,2025-11-17 10:01:00+00:00,57.35,,
50,6,2025-11-17 10:00:16+00:00,2025-11-17 10:01:00+00:00,75.56,,
51,1,2025-11-17 10:01:19+00:00,2025-11-17 10:02:03+00:00,67.69,,
51,2,2025-11-17 10:01:19+00:00,2025-11-17 10:02:03+00:00,110.26,,
51,3,2025-11-17 10:01:19+00:00,2025-11-17 10:02:03+00:00,45.39,,
51,4,2025-11-17 10:01:19+00:00,2025-11-17 10:02:03+00:00,76.91,,
51,5,2025-11-17 10:01:19+00:00,2025-11-17 10:02:03+00:00,76.75,,
51,6,2025-11-17 10:01:19+00:00,2025-11-17 10:02:03+00:00,57.84,,
52,1,2025-11-17 10:02:21+00:00,2025-11-17 10:03:00+00:00,77.11,,
52,2,2025-11-17 10:02:21+00:00,2025-11-17 10:03:00+00:00,54.36,,
52,3,2025-11-17 10:02:21+00:00,2025-11-17 10:03:00+00:00,51.23,,
52,4,2025-11-17 10:02:21+00:00,2025-11-17 10:03:00+00:00,50.93,,
52,5,2025-11-17 10:02:21+00:00,2025-11-17 10:03:00+00:00,67.8,,
52,6,2025-11-17 10:02:21+00:00,2025-11-17 10:03:00+00:00,98.63,SRVO-050,
